country,year,prot_area_perc,gdp,under_5_mort_rate,pop_growth_perc,pop,urb_pop_growth_perc,urb_pop
SWE,1994,7.56792593792,217546397096.941,5.2,0.709745610004253,8780700.0,0.877229842766108,7345933.62
SWE,1995,7.9253393744,253679923737.961,4.9,0.571212700568793,8831000.0,0.738416884014487,7400378.0
SWE,1996,7.94980394268,276456158663.883,4.6,0.135792702123902,8843000.0,0.183514019162751,7413971.2
SWE,1997,8.09621371852,253177906717.835,4.4,0.0727655537539297,8849437.0,0.120464104444609,7422907.7556
SWE,1998,8.21668766944,254723204065.46,4.3,0.026698697553355,8851800.0,0.0743745046704599,7428430.56
SWE,1999,8.29218800851,258813540859.799,4.2,0.0632439617064733,8857400.0,0.11089705213663,7436673.04
SWE,2000,10.9537835353,247260155857.763,4.1,0.130878248530798,8869000.0,0.178508645878181,7449960.0
SWZ,1991,3.01836495564,1158222660.17526,95.0,2.80180620353724,887467.0,2.88910433217176,203407.4364
SWZ,1992,3.01823106616,1285751428.09677,94.5,2.30470347144183,908158.0,2.39192545691039,208331.4452
SWZ,1993,3.01809715246,1358867201.77951,94.5,1.99093232580633,926420.0,2.07807830082044,212706.032
SWZ,1994,3.01796321222,1420166988.79428,95.7,1.92263451636709,944404.0,2.0097046132915,217024.0392
SWZ,1995,3.01782924718,1698967931.43226,97.6,2.01128900261819,963591.0,2.09828335347218,221625.93
SWZ,1996,3.01769525791,1613812745.57599,100.3,2.16010365817854,984632.0,2.42063354935487,227056.1392
SWZ,1997,3.01756124326,1718172156.43431,103.6,2.22881335755165,1006824.0,2.48866625387805,232777.7088
SWZ,1998,3.01742720381,1562195983.74787,107.4,2.15028240331152,1028708.0,2.4094618140544,238454.5144
SWZ,1999,3.01742720381,1534888918.39459,111.0,1.87459567213725,1048174.0,2.13310507934772,243595.6376
SWZ,2000,3.01742720381,1489618181.41908,114.0,1.48278810642667,1063832.0,1.74063096522111,247872.856
SYR,1991,0.253370240298,12981833333.3333,35.8,2.97033069146704,12690183.0,3.4166679819783,6235955.9262
SYR,1992,0.253369922292,13253565901.0698,33.8,2.9411711399276,13063423.0,3.38596019136911,6450718.2774
SYR,1993,0.253369604233,13695962017.1807,31.8,2.87348882448344,13438799.0,3.31782778139333,6668332.0638
SYR,1994,0.253369286174,10122020000.0,29.8,2.75731484636388,13809349.0,3.20249554049403,6885341.4114
SYR,1995,0.253368968061,11396706586.8263,28.4,2.6198266116672,14171130.0,3.06628999043031,7099736.13
SYR,1996,0.254018802038,13789560878.2435,27.0,2.45367165497743,14518843.0,3.02106935475052,7317496.872
SYR,1997,0.254018459484,14505233969.8054,25.7,2.32539879382949,14856464.0,2.89224692280733,7532227.248
SYR,1998,0.259318610555,15200846139.0769,24.8,2.31454806473466,15200324.0,2.87814088072727,7752165.24
SYR,1999,0.319915785017,15873875968.9922,23.9,2.45066486740677,15572833.0,3.00762978051392,7988863.329
SYR,2000,0.319915785017,19325894913.1254,23.0,2.66939868937142,15988534.0,3.21748388848712,8250083.544
TCD,1991,9.38582078152,1877144030.24394,205.3,3.05605161617792,6197766.0,4.10818949033119,1302770.4132
TCD,1992,9.38582392272,1881853364.34916,203.4,3.02097832933135,6387856.0,4.06216142182467,1356780.6144
TCD,1993,9.38582705607,1463316169.18827,201.7,3.01038811894235,6583079.0,4.04084220182379,1412728.7534
TCD,1994,9.3858302051,1179847942.56702,199.9,3.03358138394414,6785842.0,4.05352532083345,1471170.5456
TCD,1995,9.38583334629,1445915335.08724,198.1,3.08014439464608,6998108.0,4.08979041974702,1532585.652
TCD,1996,9.38583648748,1607352991.06627,196.4,3.10878326774509,7219081.0,4.46934847332296,1602635.982
TCD,1997,9.38583963651,1544687914.86513,194.6,3.12964219813156,7448585.0,4.47194423134564,1675931.625
TCD,1998,9.38584278553,1744651916.442,192.9,3.18753754261952,7689836.0,4.51206021762158,1753282.608
TCD,1999,9.38584278553,1536917961.52841,191.1,3.28927770575922,7946982.0,4.59648586249453,1835752.842
TCD,2000,9.38584278553,1385050963.9347,189.5,3.40610250801845,8222327.0,4.69644299160919,1924024.518
TGO,1991,11.2565362858,1602293605.39122,144.3,2.21884529051022,3747750.0,4.25771894297437,1151308.8
